        Time / s                E-Field (0 0 2.27899) [1]/real
----------------------------------------------------------------------
                       0                               0
          1.6593623e-012                               0
          3.3187246e-012                               0
          4.9780868e-012                               0
          6.6374491e-012                               0
          8.2968114e-012                               0
          9.9561737e-012                               0
          1.1615536e-011                               0
          1.3274898e-011                               0
          1.4934261e-011                               0
          1.6593623e-011                               0
          1.8252985e-011                               0
          1.9912347e-011                               0
           2.157171e-011                               0
          2.3231072e-011                               0
          2.4890434e-011                               0
          2.6549796e-011                               0
          2.8209159e-011                               0
          2.9868521e-011                               0
          3.1527883e-011                               0
          3.3187246e-011                               0
          3.4846608e-011                               0
           3.650597e-011                               0
          3.8165332e-011                               0
          3.9824695e-011                               0
          4.1484057e-011                               0
          4.3143419e-011                               0
          4.4802782e-011                               0
          4.6462144e-011                               0
          4.8121506e-011                               0
          4.9780868e-011                               0
          5.1440231e-011                               0
          5.3099593e-011                               0
          5.4758955e-011                               0
          5.6418317e-011                               0
           5.807768e-011                               0
          5.9737042e-011                               0
          6.1396404e-011                               0
          6.3055767e-011                               0
          6.4715129e-011                               0
          6.6374491e-011                               0
          6.8033853e-011                               0
          6.9693216e-011                               0
          7.1352578e-011                               0
           7.301194e-011                               0
          7.4671303e-011                               0
          7.6330665e-011                               0
          7.7990027e-011                               0
          7.9649389e-011                               0
          8.1308752e-011                               0
          8.2968114e-011                               0
          8.4627476e-011                               0
          8.6286839e-011                               0
          8.7946201e-011                               0
          8.9605563e-011                               0
          9.1264925e-011                               0
          9.2924288e-011                               0
           9.458365e-011                               0
          9.6243012e-011                               0
          9.7902374e-011                               0
          9.9561737e-011                               0
           1.012211e-010                               0
          1.0288046e-010                               0
          1.0453982e-010                               0
          1.0619919e-010                               0
          1.0785855e-010                               0
          1.0951791e-010                               0
          1.1117727e-010                               0
          1.1283663e-010                               0
            1.14496e-010                               0
          1.1615536e-010                               0
          1.1781472e-010                               0
          1.1947408e-010                               0
          1.2113345e-010                               0
          1.2279281e-010                               0
          1.2445217e-010                               0
          1.2611153e-010                               0
           1.277709e-010                               0
          1.2943026e-010                               0
          1.3108962e-010                               0
          1.3274898e-010                               0
          1.3440834e-010                               0
          1.3606771e-010                               0
          1.3772707e-010                               0
          1.3938643e-010                               0
          1.4104579e-010                               0
          1.4270516e-010                               0
          1.4436452e-010                               0
          1.4602388e-010                               0
          1.4768324e-010                               0
          1.4934261e-010                               0
          1.5100197e-010                               0
          1.5266133e-010                               0
          1.5432069e-010                               0
          1.5598005e-010                               0
          1.5763942e-010                               0
          1.5929878e-010                               0
          1.6095814e-010                               0
           1.626175e-010                               0
          1.6427687e-010                               0
          1.6593623e-010                               0
          1.6759559e-010                               0
          1.6925495e-010                               0
          1.7091431e-010                               0
          1.7257368e-010                               0
          1.7423304e-010                               0
           1.758924e-010                               0
          1.7755176e-010                               0
          1.7921113e-010                               0
          1.8087049e-010                               0
          1.8252985e-010                               0
          1.8418921e-010                               0
          1.8584858e-010                               0
          1.8750794e-010                               0
           1.891673e-010                               0
          1.9082666e-010                               0
          1.9248602e-010                               0
          1.9414539e-010                               0
          1.9580475e-010                               0
          1.9746411e-010                               0
          1.9912347e-010                               0
          2.0078284e-010                               0
           2.024422e-010                               0
          2.0410156e-010                               0
          2.0576092e-010                               0
          2.0742028e-010                               0
          2.0907965e-010                               0
          2.1073901e-010                               0
          2.1239837e-010                               0
          2.1405773e-010                               0
           2.157171e-010                               0
          2.1737646e-010                               0
          2.1903582e-010                               0
          2.2069518e-010                               0
          2.2235455e-010                               0
          2.2401391e-010                               0
          2.2567327e-010                               0
          2.2733263e-010                               0
          2.2899199e-010                               0
          2.3065136e-010                               0
          2.3231072e-010                               0
          2.3397008e-010                               0
          2.3562944e-010                               0
          2.3728881e-010                               0
          2.3894817e-010                               0
          2.4060753e-010                               0
          2.4226689e-010                               0
          2.4392625e-010                               0
          2.4558562e-010                               0
          2.4724498e-010                               0
          2.4890434e-010                               0
           2.505637e-010                               0
          2.5222307e-010                               0
          2.5388243e-010                               0
          2.5554179e-010                               0
          2.5720115e-010                               0
          2.5886052e-010                               0
          2.6051988e-010                               0
          2.6217924e-010                               0
           2.638386e-010                               0
          2.6549796e-010                               0
          2.6715733e-010                               0
          2.6881669e-010                               0
          2.7047605e-010                               0
          2.7213541e-010                               0
          2.7379478e-010                               0
          2.7545414e-010                               0
